project_id,url,brand,agency,title,publish_date,last_updated
339366,https://www.digitaling.com/projects/339366.html,MINISO 名创优品,有了创意,名创优品×世界微笑日：开心无需深度思考,2025-05-20,2025-08-07 14:27:51
335796,https://www.digitaling.com/projects/335796.html,MINISO 名创优品,有了创意,名创优品×国际小狗日：人，别叫我土狗,2025-04-14,2025-08-07 14:27:51
333731,https://www.digitaling.com/projects/333731.html,吉谷电器,有了创意,户外广告玩出新招：吉谷电水壶全城送祝福,2025-03-19,2025-08-07 14:27:50
329258,https://www.digitaling.com/projects/329258.html,MINISO 名创优品,有了创意,名创优品×《黑神话：悟空》：这波联名闹大了,2025-01-24,2025-08-07 14:27:51
328740,https://www.digitaling.com/projects/328740.html,妙可蓝多,有了创意,东北营销整新活：妙可蓝多打造嘎嘎长个雪人展,2025-01-22,2025-08-07 14:27:50
328404,https://www.digitaling.com/projects/328404.html,三福,有了创意,三福x有钱花：新年嘛，最紧要的是沾点钱味啦,2025-01-13,2025-08-07 14:27:50
314474,https://www.digitaling.com/projects/314474.html,MINISO 名创优品,有了创意,名创优品最沙雕的开业：CGI视频也能搞事情,2024-09-04,2025-08-07 14:27:51
304849,https://www.digitaling.com/projects/304849.html,汇仁药业,有了创意,汇仁药业：广告贴了一半就开始累了,2024-06-05,2025-08-07 14:27:50
281504,https://www.digitaling.com/projects/281504.html,Meco 蜜谷·果汁茶,有了创意,香飘飘Meco春节玄学营销：我在普陀山吸好运,2024-03-11,2025-08-07 14:27:50
260399,https://www.digitaling.com/projects/260399.html,MINISO 名创优品,有了创意,名创优品×国际流浪动物日：小动物不是玩物，每种伤害都有代价,2023-08-28,2025-08-07 14:27:51
258292,https://www.digitaling.com/projects/258292.html,太二酸菜鱼,有了创意,太二8周年，主打一个又酸又爽,2023-08-11,2025-08-07 14:27:50
256983,https://www.digitaling.com/projects/256983.html,MINISO 名创优品,有了创意,名创优品×芭比：万物皆可粉粉搭,2023-07-31,2025-08-07 14:27:51
256157,https://www.digitaling.com/projects/256157.html,MINISO 名创优品,有了创意,名创优品盲盒节，“高吊求关注”,2023-07-25,2025-08-07 14:27:51
249164,https://www.digitaling.com/projects/249164.html,TOP TOY 全球潮玩集合,有了创意,TOPTOY“童年补偿计划”，专治各种童年遗憾！,2023-06-06,2025-08-07 14:27:50
246105,https://www.digitaling.com/projects/246105.html,MINISO 名创优品,有了创意,训练家集合，来名创优品寻找宝可梦！,2023-05-06,2025-08-07 14:27:51
245181,https://www.digitaling.com/projects/245181.html,Sinocare 三诺,有了创意,10城祝福事件，三诺祝全国男人不过420,2023-04-25,2025-08-07 14:27:50
226036,https://www.digitaling.com/projects/226036.html,MINISO 名创优品,有了创意,名创优品×中国绿化基金会：把全世界种的草变成了竹子,2022-10-08,2025-08-07 14:27:51
213310,https://www.digitaling.com/projects/213310.html,MINISO 名创优品,有了创意,名创优品笑脸不倒翁，致敬“难不倒”的上海市民,2022-07-11,2025-08-07 14:27:51
